Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Header.stamp.secs,Offset_UTM_easting,Offset_UTM_northing
1663962234.34864,0,71034,0,GPS1_Frame,42.334025,-71.0890283333333,22.3,327895.769432984,4688977.16674294,19,T,1127,895.76943298371,477.166742943227
1663962235.34484,0,71035,0,GPS1_Frame,42.3340133333333,-71.0890166666667,22.2,327896.698805541,4688975.84763714,19,T,1128,896.698805541266,475.847637142986
1663962236.34816,0,71036,0,GPS1_Frame,42.334,-71.0890033333333,22.4,327897.760946054,4688974.34008783,19,T,1129,897.760946054244,474.340087827295
1663962237.38012,0,71037,0,GPS1_Frame,42.3339883333333,-71.0889916666667,22.4,327898.690319388,4688973.02098232,19,T,1130,898.69031938829,473.020982320421
1663962238.34875,0,71038,0,GPS1_Frame,42.3339766666667,-71.08898,22.2,327899.619693087,4688971.70187695,19,T,1131,899.619693086657,471.701876948588
1663962239.34255,0,71039,0,GPS1_Frame,42.3339666666667,-71.0889683333333,22,327900.553613322,4688970.56784225,19,T,1132,900.553613321739,470.567842253484
1663962240.38575,0,71040,0,GPS1_Frame,42.3339566666667,-71.0889566666667,21.7,327901.487533866,4688969.4338077,19,T,1133,901.487533866311,469.433807697147
1663962241.34801,0,71041,0,GPS1_Frame,42.333945,-71.088945,21.4,327902.416908599,4688968.11470273,19,T,1134,902.416908598796,468.114702733234
1663962242.34685,0,71042,0,GPS1_Frame,42.333935,-71.0889333333333,21.1,327903.350829787,4688966.98066845,19,T,1135,903.350829786854,466.980668446049
1663962243.37812,0,71043,0,GPS1_Frame,42.3339233333333,-71.0889216666667,20.7,327904.28020522,4688965.66156376,19,T,1136,904.280205219518,465.661563755013
1663962244.34634,0,71044,0,GPS1_Frame,42.3339133333333,-71.08891,20.4,327905.214127055,4688964.52752974,19,T,1137,905.214127055078,464.527529738843
1663962245.34351,0,71045,0,GPS1_Frame,42.333905,-71.0888983333333,20.1,327906.152595215,4688963.57856639,19,T,1138,906.152595214546,463.578566393815
1663962246.34729,0,71046,0,GPS1_Frame,42.333895,-71.0888866666667,19.9,327907.086517643,4688962.44453265,19,T,1139,907.086517643067,462.444532647729
1663962247.34777,0,71047,0,GPS1_Frame,42.3338833333333,-71.0888766666667,19.7,327907.878580318,4688961.1288014,19,T,1140,907.878580317833,461.128801404499
1663962248.38005,0,71048,0,GPS1_Frame,42.3338716666667,-71.0888683333333,19.6,327908.533329177,4688959.81644315,19,T,1141,908.533329177473,459.816443149932
1663962249.34769,0,71049,0,GPS1_Frame,42.33386,-71.08886,19.4,327909.188078296,4688958.50408497,19,T,1142,909.188078295905,458.504084967077
1663962250.34419,0,71050,0,GPS1_Frame,42.3338483333333,-71.08885,19.3,327909.980141855,4688957.18835399,19,T,1143,909.98014185502,457.188353992067
1663962251.34694,0,71051,0,GPS1_Frame,42.3338383333333,-71.0888383333333,19.2,327910.914065806,4688956.05432081,19,T,1144,910.914065806428,456.054320811294
1663962252.42262,0,71052,0,GPS1_Frame,42.3338266666667,-71.0888283333333,19.1,327911.706129989,4688954.73859005,19,T,1145,911.706129989238,454.738590052351
1663962253.34839,0,71053,0,GPS1_Frame,42.3338183333333,-71.0888183333333,19,327912.507286153,4688953.79300047,19,T,1146,912.507286152686,453.793000465259
1663962254.34849,0,71054,0,GPS1_Frame,42.3338083333333,-71.0888083333333,19,327913.303896727,4688952.66234044,19,T,1147,913.303896727273,452.66234044265
1663962255.38503,0,71055,0,GPS1_Frame,42.3338,-71.0887983333334,18.9,327914.105053355,4688951.71675106,19,T,1148,914.105053355335,451.716751056723
1663962256.41388,0,71056,0,GPS1_Frame,42.3337916666667,-71.0887883333333,18.9,327914.906210206,4688950.77116177,19,T,1149,914.906210206449,450.771161767654
1663962257.3471,0,71057,0,GPS1_Frame,42.3337833333333,-71.0887783333333,18.7,327915.707367279,4688949.82557258,19,T,1150,915.707367278636,449.825572577305
1663962258.34908,0,71058,0,GPS1_Frame,42.333775,-71.0887683333333,18.6,327916.50852457,4688948.87998349,19,T,1151,916.508524569683,448.879983486608
1663962259.34661,0,71059,0,GPS1_Frame,42.3337666666667,-71.0887583333333,18.3,327917.309682084,4688947.9343945,19,T,1152,917.309682083898,447.934394495562
1663962260.34771,0,71060,0,GPS1_Frame,42.33376,-71.0887466666667,18.1,327918.252699863,4688947.17050344,19,T,1153,918.252699862991,447.170503442176
1663962261.35232,0,71061,0,GPS1_Frame,42.3337516666667,-71.0887366666667,17.8,327919.053857813,4688946.22491467,19,T,1154,919.053857812658,446.224914666265
1663962262.38523,0,71062,0,GPS1_Frame,42.3337433333333,-71.0887266666667,17.5,327919.855015983,4688945.27932599,19,T,1155,919.855015983339,445.279325987212
1663962263.3479,0,71063,0,GPS1_Frame,42.3337316666667,-71.0887183333333,17.3,327920.509768735,4688943.966969,19,T,1156,920.509768735152,443.966968994588
1663962264.35162,0,71064,0,GPS1_Frame,42.3337216666667,-71.0887083333333,17.1,327921.306381788,4688942.83630997,19,T,1157,921.306381788221,442.836309968494
