Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1663961107.3247004,0,69907,0,GPS1_Frame,42.33431333333333,-71.08945999999999,16.5,327860.991836722,4689010.057685186,19,T
1663961108.356794,0,69908,0,GPS1_Frame,42.33431333333333,-71.08945999999999,16.5,327860.991836722,4689010.057685186,19,T
1663961109.3503664,0,69909,0,GPS1_Frame,42.33431166666666,-71.089465,16.3,327860.5753499287,4689009.882736201,19,T
1663961110.3866482,0,69910,0,GPS1_Frame,42.33430499999999,-71.08947166666667,16.3,327860.0079080383,4689009.1559494445,19,T
1663961111.322254,0,69911,0,GPS1_Frame,42.3343,-71.08948166666667,16.0,327859.170386951,4689008.620981055,19,T
1663961112.3917367,0,69912,0,GPS1_Frame,42.334293333333335,-71.08949166666666,15.7,327858.3283183927,4689007.90094221,19,T
1663961113.353866,0,69913,0,GPS1_Frame,42.33428833333334,-71.0895,15.5,327857.6281102486,4689007.362600097,19,T
1663961114.3550663,0,69914,0,GPS1_Frame,42.33428333333333,-71.08950833333333,15.3,327856.92790199653,4689006.82425805,19,T
1663961115.3541903,0,69915,0,GPS1_Frame,42.33427833333334,-71.08951666666667,15.2,327856.22769363655,4689006.285916072,19,T
1663961116.3253849,0,69916,0,GPS1_Frame,42.33427333333334,-71.08952500000001,15.1,327855.52748516866,4689005.747574161,19,T
1663961117.3231595,0,69917,0,GPS1_Frame,42.33426666666666,-71.089535,15.1,327854.68541589123,4689005.027535732,19,T
1663961118.3558576,0,69918,0,GPS1_Frame,42.33426333333333,-71.08954333333332,15.1,327853.98975462967,4689004.674264526,19,T
1663961119.3549654,0,69919,0,GPS1_Frame,42.33425833333334,-71.08955166666667,15.1,327853.28954582906,4689004.13592283,19,T
1663961120.3230572,0,69920,0,GPS1_Frame,42.33425333333333,-71.08955999999999,15.2,327852.5893369162,4689003.597581199,19,T
1663961121.3223562,0,69921,0,GPS1_Frame,42.334248333333335,-71.08957000000001,15.3,327851.7518145877,4689003.062613665,19,T
1663961122.3251517,0,69922,0,GPS1_Frame,42.33424333333334,-71.08958,15.4,327850.9142921292,4689002.5276462305,19,T
1663961123.3226817,0,69923,0,GPS1_Frame,42.33424,-71.08959,15.6,327850.08131709136,4689002.177749445,19,T
1663961124.3548346,0,69924,0,GPS1_Frame,42.33423500000001,-71.08960166666667,15.9,327849.10648105317,4689001.646156281,19,T
1663961125.3214176,0,69925,0,GPS1_Frame,42.33423,-71.08961333333333,16.1,327848.13164486503,4689001.114563249,19,T
1663961126.3212178,0,69926,0,GPS1_Frame,42.334224999999996,-71.08962333333334,16.2,327847.2941218823,4689000.579596234,19,T
1663961127.323526,0,69927,0,GPS1_Frame,42.33422166666666,-71.089635,16.4,327846.3238330506,4689000.233074001,19,T
1663961128.3186064,0,69928,0,GPS1_Frame,42.33421666666666,-71.089645,16.6,327845.4863098205,4688999.698107192,19,T
1663961129.351629,0,69929,0,GPS1_Frame,42.33421166666667,-71.08965666666667,16.9,327844.51147306996,4688999.166514651,19,T
1663961130.3512814,0,69930,0,GPS1_Frame,42.33420666666666,-71.08967,17.1,327843.3993227681,4688998.638296427,19,T
1663961131.3221483,0,69931,0,GPS1_Frame,42.334201666666665,-71.08968,17.2,327842.5617991154,4688998.103329961,19,T
1663961132.31958,0,69932,0,GPS1_Frame,42.334199999999996,-71.08969,17.4,327841.7333708666,4688997.938504698,19,T
1663961133.3232446,0,69933,0,GPS1_Frame,42.334195,-71.0897,17.8,327840.8958469989,4688997.403538423,19,T
1663961134.3586683,0,69934,0,GPS1_Frame,42.33419166666666,-71.08970833333333,17.8,327840.2001842456,4688997.050268543,19,T
1663961135.3244545,0,69935,0,GPS1_Frame,42.33418666666667,-71.08972,18.0,327839.2253467029,4688996.518676716,19,T
1663961136.3556263,0,69936,0,GPS1_Frame,42.33418166666667,-71.08973333333333,18.3,327838.1131955518,4688995.990459312,19,T
1663961137.3211522,0,69937,0,GPS1_Frame,42.334175,-71.08974833333333,18.7,327836.8591828651,4688995.28054584,19,T
1663961138.3225446,0,69938,0,GPS1_Frame,42.33416999999999,-71.08975833333334,18.9,327836.021658291,4688994.745580128,19,T
1663961139.3197796,0,69939,0,GPS1_Frame,42.334165,-71.08977,19.2,327835.046820096,4688994.213988865,19,T
1663961140.3185542,0,69940,0,GPS1_Frame,42.334160000000004,-71.08978166666667,19.2,327834.07198174694,4688993.682397734,19,T
1663961141.3226237,0,69941,0,GPS1_Frame,42.334156666666665,-71.08979333333333,19.2,327833.1016912344,4688993.335877287,19,T
1663961142.381248,0,69942,0,GPS1_Frame,42.33415333333334,-71.08980333333334,19.0,327832.268714139,4688992.985982568,19,T
1663961143.324402,0,69943,0,GPS1_Frame,42.33414666666666,-71.08981333333332,18.8,327831.42664089607,4688992.265946831,19,T
1663961144.324029,0,69944,0,GPS1_Frame,42.33414166666667,-71.08982166666667,18.3,327830.7264290797,4688991.727607312,19,T
1663961145.3199458,0,69945,0,GPS1_Frame,42.33413833333334,-71.08982999999999,18.1,327830.03076521767,4688991.374338415,19,T
