Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter
1580683193.963505,5,1580683193,962775945,gps,42.12318,71.03382140000001,10.199999809265137,331885.38120757753,4665454.64679509,19,T
1580683194.9871163,6,1580683194,986450910,gps,42.12318,71.03382140000001,10.199999809265137,331885.38120757753,4665454.64679509,19,T
1580683195.9631562,7,1580683195,962483882,gps,42.12318,71.03382140000001,10.199999809265137,331885.38120757753,4665454.64679509,19,T
1580683196.9644578,8,1580683196,963778018,gps,42.12318,71.03382140000001,10.199999809265137,331885.38120757753,4665454.64679509,19,T
1580683197.9887943,9,1580683197,988142967,gps,42.12318,71.03382140000001,10.199999809265137,331885.38120757753,4665454.64679509,19,T
1580683198.9650528,10,1580683198,964457988,gps,42.12318,71.03382140000001,10.199999809265137,331885.38120757753,4665454.64679509,19,T
1580683199.966037,11,1580683199,965265989,gps,42.12318,71.03382140000001,10.199999809265137,331885.38120757753,4665454.64679509,19,T
1580683200.9687057,12,1580683200,967978954,gps,42.12318,71.03382140000001,10.199999809265137,331885.38120757753,4665454.64679509,19,T
1580683201.9680598,13,1580683201,967439889,gps,42.12318,71.03382140000001,10.199999809265137,331885.38120757753,4665454.64679509,19,T
1580683202.9684708,14,1580683202,967730045,gps,42.12318,71.03382140000001,10.199999809265137,331885.38120757753,4665454.64679509,19,T
1580683203.9947898,15,1580683203,994085073,gps,42.12318,71.03382140000001,10.199999809265137,331885.38120757753,4665454.64679509,19,T
1580683204.969189,16,1580683204,968506097,gps,42.12318,71.03382140000001,10.199999809265137,331885.38120757753,4665454.64679509,19,T
1580683205.9770486,17,1580683205,976295948,gps,42.12318,71.03382140000001,10.199999809265137,331885.38120757753,4665454.64679509,19,T
1580683206.963662,18,1580683206,962821006,gps,42.12318,71.03382140000001,10.199999809265137,331885.38120757753,4665454.64679509,19,T
1580683207.969089,19,1580683207,968322038,gps,42.12318,71.03382140000001,10.199999809265137,331885.38120757753,4665454.64679509,19,T
1580683208.9692566,20,1580683208,968417882,gps,42.12318,71.03382140000001,10.199999809265137,331885.38120757753,4665454.64679509,19,T
1580683209.9691231,21,1580683209,968506097,gps,42.12318,71.03382140000001,10.199999809265137,331885.38120757753,4665454.64679509,19,T
1580683210.9690387,22,1580683210,968305110,gps,42.12318,71.03382140000001,10.199999809265137,331885.38120757753,4665454.64679509,19,T
1580683211.9620411,23,1580683211,961347103,gps,42.12318,71.03382140000001,10.199999809265137,331885.38120757753,4665454.64679509,19,T
1580683212.963968,24,1580683212,963375091,gps,42.12318,71.03382140000001,10.199999809265137,331885.38120757753,4665454.64679509,19,T
1580683213.9643502,25,1580683213,963725090,gps,42.12318,71.03382140000001,10.199999809265137,331885.38120757753,4665454.64679509,19,T
1580683214.9691508,26,1580683214,968456029,gps,42.12318,71.03382140000001,10.199999809265137,331885.38120757753,4665454.64679509,19,T
1580683215.9728017,27,1580683215,972130060,gps,42.12318,71.03382140000001,10.300000190734863,331885.38120757753,4665454.64679509,19,T
1580683216.969228,28,1580683216,968543052,gps,42.12318,71.03382140000001,10.300000190734863,331885.38120757753,4665454.64679509,19,T
1580683217.9688861,29,1580683217,967999935,gps,42.12318,71.03382140000001,10.300000190734863,331885.38120757753,4665454.64679509,19,T
1580683218.9628358,30,1580683218,962219953,gps,42.12318,71.03382140000001,10.300000190734863,331885.38120757753,4665454.64679509,19,T
