Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,offset_utm_easting,offset_utm_northing,offset_header.stamp.secs
1580683291.96392,103,1580683291,963155984,gps,42.1231806,71.0338214,10.3000001907349,331885.382794456,4665454.71341812,19,T,1.38279445632361,0.713418117724359,98
1580683292.96921,104,1580683292,968517065,gps,42.1231806,71.033822,10.3000001907349,331885.333196645,4665454.71459948,19,T,1.33319664548617,0.714599476195872,99
1580683293.96887,105,1580683293,968241930,gps,42.1231806,71.033822,10.3000001907349,331885.333196645,4665454.71459948,19,T,1.33319664548617,0.714599476195872,100
1580683294.96879,106,1580683294,968209028,gps,42.1231806,71.033822,10.3000001907349,331885.333196645,4665454.71459948,19,T,1.33319664548617,0.714599476195872,101
1580683295.96951,107,1580683295,968903064,gps,42.1231806,71.033822,10.3000001907349,331885.333196645,4665454.71459948,19,T,1.33319664548617,0.714599476195872,102
1580683296.9889,108,1580683296,988200902,gps,42.1231806,71.033822,10.3000001907349,331885.333196645,4665454.71459948,19,T,1.33319664548617,0.714599476195872,103
1580683297.96129,109,1580683297,960643053,gps,42.1231806,71.033822,10.3000001907349,331885.333196645,4665454.71459948,19,T,1.33319664548617,0.714599476195872,104
1580683298.97054,110,1580683298,969865083,gps,42.1231806,71.033822,10.3000001907349,331885.333196645,4665454.71459948,19,T,1.33319664548617,0.714599476195872,105
1580683299.99431,111,1580683299,993541955,gps,42.1231806,71.033822,10.3000001907349,331885.333196645,4665454.71459948,19,T,1.33319664548617,0.714599476195872,106
1580683300.96874,112,1580683300,968084096,gps,42.1231806,71.033822,10.3000001907349,331885.333196645,4665454.71459948,19,T,1.33319664548617,0.714599476195872,107
1580683301.96159,113,1580683301,960942029,gps,42.1231806,71.033822,10.3000001907349,331885.333196645,4665454.71459948,19,T,1.33319664548617,0.714599476195872,108
1580683302.97323,114,1580683302,972393035,gps,42.1231806,71.033822,10.3000001907349,331885.333196645,4665454.71459948,19,T,1.33319664548617,0.714599476195872,109
1580683303.99622,115,1580683303,995336055,gps,42.1231806,71.033822,10.3000001907349,331885.333196645,4665454.71459948,19,T,1.33319664548617,0.714599476195872,110
1580683304.96954,116,1580683304,968897104,gps,42.1231806,71.033822,10.3000001907349,331885.333196645,4665454.71459948,19,T,1.33319664548617,0.714599476195872,111
1580683305.96902,117,1580683305,968374013,gps,42.1231806,71.033822,10.3000001907349,331885.333196645,4665454.71459948,19,T,1.33319664548617,0.714599476195872,112
1580683306.96817,118,1580683306,967298984,gps,42.1231806,71.033822,10.3000001907349,331885.333196645,4665454.71459948,19,T,1.33319664548617,0.714599476195872,113
1580683307.96284,119,1580683307,962152957,gps,42.1231806,71.033822,10.3000001907349,331885.333196645,4665454.71459948,19,T,1.33319664548617,0.714599476195872,114
1580683308.96993,120,1580683308,969166040,gps,42.1231806,71.033822,10.3999996185303,331885.333196645,4665454.71459948,19,T,1.33319664548617,0.714599476195872,115
1580683309.96172,121,1580683309,961179971,gps,42.1231806,71.033822,10.3999996185303,331885.333196645,4665454.71459948,19,T,1.33319664548617,0.714599476195872,116
1580683310.96733,122,1580683310,966576099,gps,42.1231806,71.033822,10.3999996185303,331885.333196645,4665454.71459948,19,T,1.33319664548617,0.714599476195872,117
1580683311.96795,123,1580683311,967341899,gps,42.1231806,71.033822,10.3999996185303,331885.333196645,4665454.71459948,19,T,1.33319664548617,0.714599476195872,118
1580683312.96827,124,1580683312,967448949,gps,42.1231806,71.033822,10.3999996185303,331885.333196645,4665454.71459948,19,T,1.33319664548617,0.714599476195872,119
1580683313.96828,125,1580683313,967503070,gps,42.1231806,71.033822,10.3999996185303,331885.333196645,4665454.71459948,19,T,1.33319664548617,0.714599476195872,120
1580683314.96311,126,1580683314,962479114,gps,42.1231806,71.033822,10.3999996185303,331885.333196645,4665454.71459948,19,T,1.33319664548617,0.714599476195872,121
1580683315.96432,127,1580683315,963593006,gps,42.1231806,71.033822,10.3999996185303,331885.333196645,4665454.71459948,19,T,1.33319664548617,0.714599476195872,122
1580683316.97015,128,1580683316,969404935,gps,42.1231806,71.033822,10.3999996185303,331885.333196645,4665454.71459948,19,T,1.33319664548617,0.714599476195872,123
1580683317.96913,129,1580683317,968354940,gps,42.1231806,71.033822,10.3999996185303,331885.333196645,4665454.71459948,19,T,1.33319664548617,0.714599476195872,124
1580683318.96835,130,1580683318,967715978,gps,42.1231812,71.0338226,10.3000001907349,331885.285185716,4665454.78240387,19,T,1.28518571553286,0.782403864897788,125
1580683319.97021,131,1580683319,969444990,gps,42.1231818,71.0338226,10.3000001907349,331885.286772595,4665454.84902689,19,T,1.28677259525284,0.849026893265545,126
1580683320.96369,132,1580683320,962994098,gps,42.1231818,71.0338226,10.3000001907349,331885.286772595,4665454.84902689,19,T,1.28677259525284,0.849026893265545,127
1580683321.96537,133,1580683321,964646100,gps,42.1231818,71.0338226,10.3000001907349,331885.286772595,4665454.84902689,19,T,1.28677259525284,0.849026893265545,128
1580683322.96682,134,1580683322,966074943,gps,42.1231818,71.0338226,10.3000001907349,331885.286772595,4665454.84902689,19,T,1.28677259525284,0.849026893265545,129
1580683323.97009,135,1580683323,969340085,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,130
1580683324.96822,136,1580683324,967353105,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,131
1580683325.95827,137,1580683325,957647085,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,132
1580683326.96732,138,1580683326,966613054,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,133
1580683327.96729,139,1580683327,966476917,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,134
1580683328.9662,140,1580683328,965430974,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,135
1580683329.96615,141,1580683329,965442895,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,136
1580683330.96529,142,1580683330,964627027,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,137
1580683331.96917,143,1580683331,968528032,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,138
1580683332.96941,144,1580683332,968898057,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,139
1580683333.99062,145,1580683333,989943027,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,140
1580683334.96652,146,1580683334,965852975,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,141
1580683335.96658,147,1580683335,965954065,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,142
1580683336.96833,148,1580683336,967596054,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,143
1580683337.9687,149,1580683337,967986106,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,144
1580683338.99326,150,1580683338,992619991,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,145
1580683339.96783,151,1580683339,967179059,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,146
1580683340.99279,152,1580683340,992228031,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,147
1580683341.96819,153,1580683341,967396974,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,148
1580683342.96811,154,1580683342,967431068,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,149
1580683343.96855,155,1580683343,967947006,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,150
1580683344.96353,156,1580683344,962858915,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,151
1580683345.96147,157,1580683345,960803031,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,152
1580683346.99652,158,1580683346,995682001,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,153
1580683347.97262,159,1580683347,971985101,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,154
1580683348.97062,160,1580683348,969959020,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,155
1580683349.99414,161,1580683349,993477106,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,156
1580683350.96468,162,1580683350,963936090,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,157
1580683351.97058,163,1580683351,969990968,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,158
1580683352.97287,164,1580683352,972215890,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,159
1580683353.99517,165,1580683353,994530916,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,160
1580683354.9702,166,1580683354,969569921,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,161
1580683355.96396,167,1580683355,963375091,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,162
1580683356.97397,168,1580683356,973181009,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,163
1580683357.96973,169,1580683357,968991994,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,164
1580683358.97008,170,1580683358,969464063,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,165
1580683359.97311,171,1580683359,972419023,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,166
1580683360.97304,172,1580683360,972312927,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,167
1580683361.97443,173,1580683361,973782062,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,168
1580683362.96382,174,1580683362,963053941,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,169
1580683363.96356,175,1580683363,962896108,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,170
1580683364.97284,176,1580683364,972228050,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,171
1580683365.96936,177,1580683365,968772888,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,172
1580683366.96988,178,1580683366,969274997,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,173
1580683367.97374,179,1580683367,973109006,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,174
1580683368.97363,180,1580683368,973025083,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,175
1580683369.96242,181,1580683369,961775064,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,176
1580683370.96885,182,1580683370,968213081,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,177
1580683371.97039,183,1580683371,969743967,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,178
1580683372.96966,184,1580683372,969000101,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,179
1580683373.96483,185,1580683373,964194059,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,180
1580683374.97048,186,1580683374,969768047,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,181
1580683375.96959,187,1580683375,969002008,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,182
1580683376.96976,188,1580683376,969166040,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,183
1580683377.96931,189,1580683377,968708038,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,184
1580683378.96968,190,1580683378,969093084,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,185
1580683379.96331,191,1580683379,962639093,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,186
1580683380.96466,192,1580683380,964122056,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,187
1580683381.96784,193,1580683381,967159032,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,188
1580683382.96836,194,1580683382,967684030,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,189
1580683383.97018,195,1580683383,969556093,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,190
1580683384.99439,196,1580683384,993736028,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,191
1580683385.96812,197,1580683385,967514991,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,192
1580683386.96884,198,1580683386,968183994,gps,42.1231818,71.0338232,10.3000001907349,331885.237174784,4665454.85020825,19,T,1.23717478429899,0.850208252668381,193
1580683387.96171,199,1580683387,961046934,gps,42.1231818,71.0338238,10.3000001907349,331885.187576974,4665454.85138961,19,T,1.18757697439287,0.851389613002539,194
1580683388.99645,200,1580683388,995637893,gps,42.1231818,71.0338238,10.3000001907349,331885.187576974,4665454.85138961,19,T,1.18757697439287,0.851389613002539,195
1580683389.96823,201,1580683389,967504024,gps,42.1231818,71.0338238,10.3000001907349,331885.187576974,4665454.85138961,19,T,1.18757697439287,0.851389613002539,196
1580683390.96767,202,1580683390,966980934,gps,42.1231818,71.0338238,10.3000001907349,331885.187576974,4665454.85138961,19,T,1.18757697439287,0.851389613002539,197
1580683391.99322,203,1580683391,992563962,gps,42.1231818,71.0338238,10.3000001907349,331885.187576974,4665454.85138961,19,T,1.18757697439287,0.851389613002539,198
1580683392.96863,204,1580683392,967919111,gps,42.1231818,71.0338238,10.3000001907349,331885.187576974,4665454.85138961,19,T,1.18757697439287,0.851389613002539,199
1580683393.968,205,1580683393,967273950,gps,42.1231818,71.0338238,10.3000001907349,331885.187576974,4665454.85138961,19,T,1.18757697439287,0.851389613002539,200
1580683394.96856,206,1580683394,967947006,gps,42.1231818,71.0338238,10.3000001907349,331885.187576974,4665454.85138961,19,T,1.18757697439287,0.851389613002539,201
